Course ID,Required Course
BIOL 2140L,BIOL 2130
BIOL 2259,BIOL 1110
BIOL 2259,BIOL 2120
BIOL 2259,CHEM 1203
BIOL 2259,CHEM 1251
BIOL 2273,BIOL 1110
BIOL 2273,BIOL 2120
BIOL 2273,CHEM 1203
BIOL 2273,CHEM 1251
BIOL 2274,BIOL 2273
BIOL 3111,BIOL 2120
BIOL 3111,BIOL 2130
BIOL 3111,CHEM 1252
BIOL 3111,CHEM 1252L
BIOL 3111L,BIOL 2140L
BIOL 3144,BIOL 2120
BIOL 3144,BIOL 2130
BIOL 3144,CHEM 1252
BIOL 3144,CHEM 1252L
BIOL 3144L,BIOL 2140L
BIOL 3161,BIOL 1110
BIOL 3161,BIOL 2120
BIOL 3166,BIOL 2120
BIOL 3166,BIOL 2130
BIOL 3166,CHEM 1252
BIOL 3166,CHEM 1252L
BIOL 3166L,BIOL 2140L
BIOL 3202,BIOL 2120
BIOL 3202,BIOL 2130
BIOL 3202L,BIOL 2140L
BIOL 3215,BIOL 2120
BIOL 3215,BIOL 2130
BIOL 3222,BIOL 2120
BIOL 3222,BIOL 2130
BIOL 3222L,BIOL 2140L
BIOL 3229,BIOL 2120
BIOL 3229,BIOL 2130
BIOL 3229,BIOL 2140L
BIOL 3231,BIOL 2120
BIOL 3231,BIOL 2130
BIOL 3231,BIOL 2140L
BIOL 3233,BIOL 2120
BIOL 3233,BIOL 2130
BIOL 3233,BIOL 2140L
BIOL 3234,BIOL 2120
BIOL 3234,BIOL 2130
BIOL 3234,BIOL 2140L
BIOL 3235,BIOL 2120
BIOL 3235,BIOL 2130
BIOL 3236,BIOL 2120
BIOL 3236,BIOL 2130
BIOL 3236L,BIOL 2140L
BIOL 3244,BIOL 2120
BIOL 3244,BIOL 2130
BIOL 3244,BIOL 2140L
BIOL 3271,BIOL 1110
BIOL 3271,BIOL 2120
BIOL 3271,BIOL 2273
BIOL 3272,BIOL 2120
BIOL 3272,BIOL 2130
BIOL 3272,BIOL 2140L
BIOL 3272,CHEM 1252
BIOL 3272,CHEM 1252L
BIOL 3272L,BIOL 2140L
BIOL 3272L,BIOL 3111L
BIOL 3273,BIOL 2120
BIOL 3273,BIOL 2130
BIOL 3273,CHEM 1252
BIOL 3273,CHEM 1252L
BIOL 3273L,BIOL 2140L
BIOL 3274,BIOL 2120
BIOL 3274,BIOL 2130
BIOL 3274,BIOL 2140L
BIOL 4040,BIOL 3166
BIOL 4111,BIOL 3111
BIOL 4111,BIOL 3166
BIOL 4121,BIOL 2140L
BIOL 4121,BIOL 3166
BIOL 4144,BIOL 2140L
BIOL 4144,BIOL 3144
BIOL 4144,BIOL 3144L
BIOL 4162,BIOL 3111L
BIOL 4162,BIOL 3161
BIOL 4162,BIOL 3166
BIOL 4163,BIOL 3161
BIOL 4163,BIOL 3166
BIOL 4163,BIOL 4162
BIOL 4164,BIOL 2120
BIOL 4164,BIOL 2120L
BIOL 4164,BIOL 2130
BIOL 4164,BIOL 2130L
BIOL 4165,BIOL 2120
BIOL 4165,BIOL 2120L
BIOL 4165,BIOL 2130
BIOL 4165,BIOL 2130L
BIOL 4167,BIOL 3111
BIOL 4167,BIOL 3166
BIOL 4168,BIOL 3111L
BIOL 4168,BIOL 3166
BIOL 4168,CHEM 4165
BIOL 4171,BIOL 3111
BIOL 4184,BIOL 3166
BIOL 4199,BIOL 3111
BIOL 4199,BIOL 3166
BIOL 4199,CHEM 2131
BIOL 4233,BIOL 3111
BIOL 4235,BIOL 2140L
BIOL 4235,BIOL 3272
BIOL 4235,BIOL 3273
BIOL 4242,BIOL 3144
BIOL 4243,BIOL 2120
BIOL 4243,BIOL 2130
BIOL 4244,BIOL 3144
BIOL 4244L,BIOL 2140L
BIOL 4245,BIOL 3111
BIOL 4250,BIOL 3111
BIOL 4250L,BIOL 3111L
BIOL 4251,BIOL 3111
BIOL 4255,BIOL 3166
BIOL 4256,BIOL 4250
BIOL 4256L,BIOL 4250L
BIOL 4257,BIOL 4250
BIOL 4258,BIOL 3111
BIOL 4259,BIOL 3111
BIOL 4260,BIOL 3166
BIOL 4260,STAT 1221
BIOL 4265,BIOL 3111
BIOL 4272,BIOL 2120
BIOL 4272,BIOL 2130
BIOL 4274,BIOL 2120
BIOL 4274,BIOL 2130
BIOL 4276,BIOL 3273
BIOL 4277,BIOL 3273
BIOL 4279,BIOL 3111
BIOL 4283,BIOL 3111
BIOL 4284,BIOL 3111
BIOL 4284,BIOL 3166
BIOL 4292,BIOL 4251
BIOL 4293,BIOL 2140L
BIOL 4293,BIOL 3111
BIOL 4293,BIOL 3111L
BIOL 4300,BIOL 3111
BIOL 4300,BIOL 3166
BIOL 4600,BIOL 3111
BIOL 4600,BIOL 3144
BIOL 4600,BIOL 3166
BIOL 4600,BIOL 3272
BIOL 4600,BIOL 3273
BIOL 4700,BIOL 4601
BIOL 4701,BIOL 4700
BUSN 3701,BUSN 2701
BUSA 3000,INFO 3233
BLAW 3150,INFO 2130
BLAW 3250,BLAW 3150
CHEM 1204,CHEM 1203
CHEM 1204L,CHEM 1203
CHEM 1204L,CHEM 1203L
CHEM 1251,MATH 1100
CHEM 1251,MATH 1101
CHEM 1251,CHEM 1200
CHEM 1252,CHEM 1251
CHEM 1252L,CHEM 1251
CHEM 1252L,CHEM 1251L
CHEM 2130,CHEM 1251
CHEM 2130,CHEM 1252
CHEM 2131,CHEM 1251
CHEM 2131,CHEM 1252
CHEM 2131L,CHEM 1251
CHEM 2131L,CHEM 1251L
CHEM 2131L,CHEM 1252
CHEM 2131L,CHEM 1252L
CHEM 2132,CHEM 2131
CHEM 2132L,CHEM 2131L
CHEM 2141,CHEM 1252
CHEM 2141,CHEM 1252L
CHEM 2141,MATH 1120
CHEM 2141,PHYS 1101
CHEM 2141,PHYS 2101
CHEM 3111,CHEM 1252
CHEM 3111,CHEM 1252L
CHEM 3121,CHEM 2131
CHEM 3141,CHEM 1252
CHEM 3141,CHEM 1252L
CHEM 3141,MATH 1241
CHEM 3141,MATH 1242
CHEM 3141,PHYS 2102
CHEM 3141,PHYS 2102L
CHEM 3142,CHEM 1252
CHEM 3142,CHEM 1252L
CHEM 3142,CHEM 3141
CHEM 3142,MATH 1241
CHEM 3142,MATH 1242
CHEM 3142,PHYS 2102
CHEM 3142,PHYS 2102L
CHEM 3142L,CHEM 3141L
CHEM 3165,CHEM 2131
CHEM 3500,CHEM 2132
CHEM 3695,CHEM 2131
CHEM 4111,CHEM 3111
CHEM 4111,CHEM 3141
CHEM 4111,CHEM 3141L
CHEM 4121,CHEM 2132
CHEM 4121,CHEM 2132L
CHEM 4121,CHEM 2136L
CHEM 4133,CHEM 2132
CHEM 4133,CHEM 2132L
CHEM 4133,CHEM 2136L
CHEM 4134,CHEM 2132
CHEM 4134,CHEM 2132L
CHEM 4134,CHEM 2136L
CHEM 4165,CHEM 2132
CHEM 4165L,CHEM 2132L
CHEM 4165L,CHEM 2136L
CHEM 4166,CHEM 4165
CHEM 4171,CHEM 3111
CHEM 4171,CHEM 4165
CHEM 4171,CHEM 4165L
CHEM 4200,CHEM 2141
CHEM 4200,CHEM 3121
CHEM 4695,CHEM 3695
CHEM 4695,CHEM 2132
CHEM 4695,CHEM 2141
CHEM 4695,CHEM 3111
CHEM 4695,CHEM 3121
CHEM 4695,CHEM 3141
CHEM 4696,CHEM 3695
CHEM 4696,CHEM 4695
CHFD 3112,CHFD 2111
